person_id,event_id,event_name,date
95548,2559,"But only what I tell it.
",20170105
56181,1783,"Real Programmers' programs never work right the first time.  But if you throw
",20170206
56181,9177,"                -- Yiddish saying
",20170624
56181,1396,"Oh, let us never, never doubt
",20171217
48712,4464,"Earn cash in your spare time -- blackmail your friends
",20170505
48712,6437,"                -- Jules de Gaultier
",20170103
48712,3441,"Earn cash in your spare time -- blackmail your friends.
",20171218
69965,3244,"        In any organization there will always be one person who knows
",20171225
69965,446,"Alimony is a system by which, when two people make a mistake, one of
",20170414
96229,6379,"        Anything that can go wr
",20171026
26130,3997,"                --Oscar Wilde
",20170111
74708,9773,"Vital papers will demonstrate their vitality by spontaneously moving
",20170502
23260,1171,"Only adults have difficulty with childproof caps.
",20180130
23260,124,"        This person must be fired.
",20180309
23260,4062,"        (Waiter exits, returns)
",20180204
85594,7758,"                   ""Register Allocation in Optimizing Compilers""
",20170304
85594,6131,"In a five year period we can get one superb programming language.  Only
",20170419
69003,1542,"Automobile: A four-wheeled vehicle that runs up hills and down
",20171227
69003,6015,"None.  The Universe spines the bulb, and the Zen master stays out of
",20170204
78804,6589,"There was a young poet named Dan,
",20180207
51605,1144,"returns of conjecture out of such a trifling investment of fact.
",20170615
51605,8932,"tickets.
",20180119
54518,1468,"            once.
",20171207
54518,1926,"The average woman would rather have beauty than brains, because the
",20171219
10654,1909,"they ought to be.  Hence the custom among the Scythians of plucking out
",20180305
20267,1909,"                -- Macy's
",20170417
20267,5493,"are 50-50 it will.
",20170517
20267,8864,"government at all.
",20170306
73127,1087,"A computer, to print out a fact,
",20180205
73127,2924,"100 blocks of crud!
",20170401
73127,8118,"ends.
",20170917
78321,7349,"Gives us ham and pork and Bacon.
",20180215
78321,5396,"Turnaucka's Law:
",20180227
20524,5865,"The meek shall inherit the earth -- they are too weak to refuse.
",20171022
20524,3570,"are 50-50 it will.
",20170610
17957,4069,"        Support your right to bare arms!
",20171208
17957,1909,"1st customer: ""I'll have tea.""
",20180226
17957,1978,"                -- John Barrymore's dying words
",20170609
48348,3629,"Who do you trust?
",20171215
48348,8010,"A: Three.  One to screw in the lightbulb and two to fend off all those
",20170808
74731,3570,"and wants it back the minute it begins to rain.
",20171108
74731,2677,"FLASH!  Intelligence of mankind decreasing.  Details at ... uh, when
",20170327
74731,5517,"Limericks are art forms complex,
",20170511
97671,8666,"Coward: One who in a perilous emergency thinks with his legs.
",20170824
97671,6625,"If the input was short of exact.
",20171103
97671,2338,"None: ""The user can work it out.""
",20170116
10968,6801,"The earth is like a tiny grain of sand, only much, much heavier.
",20170402
10968,5282,"Duct tape is like the force.  It has a light side, and a dark side, and
",20170502
10968,6085,"Excellent day to have a rotten day.
",20170927
13692,6636,"
",20170518
13692,3199,"have a lucky day this year.
",20171020
20655,3750,"Perhaps, unless the billboards fall
",20170420
20655,6964,"How many losses at Project MAC?
",20170123
11197,1302,"When someone says ""I want a programming language in which I need only
",20170421
11197,7035,"        If an idea can survive a bureaucratic review and be implemented
",20180105
51790,7684,"    ""All flesh is grass""
",20171213
51790,5388,"How long a minute is depends on which side of the bathroom door you're on.
",20170724
49911,5810,"it made.
",20170119
49911,2207,"Genius may have its limitations, but stupidity is not thus
",20170125
89135,1811,"        Western Civilization?
",20170729
89135,4476,"Afternoon: That part of the day we spend worrying about how we wasted
",20170707
73646,4235,"                -- Jules de Gaultier
",20180426
73646,7315,"Dying is a very dull, dreary affair.  And my advice to you is to
",20170528
62783,4754,"there is nothing in it.
",20170823
62783,9583,"                -- Mark Twain
",20180109
62783,7401,"You will be surprised by a loud noise.
",20171109
90080,6884,"have a lucky day this year.
",20180418
33793,6852,"                -- Maxwell Smart
",20170416
33793,9784,"slandered.
",20180205
33793,4554,"Lie: A very poor substitute for the truth, but the only one discovered
",20170319
97633,70,"Naeser's Law:
",20180405
97633,8279,"You might as well live.
",20180214
97633,1782,"programming languages.
",20180301
82421,124,"        There is a slight loss of parity.
",20170727
82421,9828,"        While her lover lamented
",20180324
82421,9319,"Every hack had seven bugs;
",20170317
10914,8939,"                -- Kehlog Albran
",20170404
10914,6020,"If God had wanted you to go around nude, He would have given you bigger
",20170223
10914,916,"criticize, but if everybody hated you, you'd be paranoid too.
",20170917
51184,7349,"
",20170608
34086,924,"Acid -- better living through chemistry.
",20180411
34086,7454,"""If you go on with this nuclear arms race, all you are going to do is
",20180220
34086,2033,"Razors pain you;
",20180301
26263,4062,"        ""And what will you do when you grow up to be as big as me?""
",20171016
26263,8187,"In the long run, every program becomes rococo, and then rubble.
",20180423
26263,8360,"                -- Maxwell Smart
",20180102
34757,4464,"Whenever people agree with me I always feel I must be wrong.
",20170727
46117,7236,"Got Mole problems?
",20170228
46117,3251,"Another good night not to sleep in a eucalyptus tree.
",20180122
11059,2958,"computer crashes.
",20170205
34722,9362,"
",20170612
34722,8925,"Fairy Tale: A horror story to prepare children for the newspapers.
",20170723
34722,4429,"        It's made by our favorite monopoly!
",20170802
75665,9250,"A university is what a college becomes when the faculty loses interest
",20170924
53269,5593,"God made the Idiot for practice, and then He made the School Board
",20170924
11015,5772,"Time flies like an arrow
",20180129
11015,624,"Life is like an onion: you peel off layer after layer, then you find
",20171002
11015,6701,"Remember, UNIX spelled backwards is XINU.
",20170303
48639,5155,"People will buy anything that's one to a customer.
",20170105
48639,4781,"visible signs of his divine right to be blown skyhigh with a dynamite
",20180316
17183,3322,"Today is the first day of the rest of the mess
",20170623
17183,7841,"Real Programmers don't write in BASIC.  Actually, no programmers write in BASIC
",20170213
17183,4576,"today.
",20170406
56580,4291,"Nostalgia isn't what it used to be.
",20170729
56580,2863,"Will divide, multiply, and subtract.
",20180408
56580,3885,"Let others think his heart is big,
",20180319
89123,4884,"bogglingly big it is.  I mean, you may think it's a long way down the
",20170329
65076,8902,"sane.""
",20170213
65076,7156,"Real Programmers don't write in FORTRAN.  FORTRAN is for pipe stress freaks and
",20170624
50176,7478,"Violence is the last refuge of the incompetent.
",20170807
50176,7305,"                -- Bill Hoest
",20170525
90251,5727,"Worst Vegetable of the Year: The brussels sprout.  This is also the
",20180425
90251,3992,"""Why isn't there a special name for the tops of your feet?""
",20170202
48656,4149,"""The climate of Bombay is such that its inhabitants have to live
",20170821
48656,3244,"Acid -- better living through chemistry.
",20170623
48656,6589,"it's because they were up all night.
",20170902
64769,7271,"Death is life's way of telling you you've been fired.
",20170211
64769,1567,"                -- Albert Einstein
",20170629
73509,5011,"Stay away from flying saucers today.
",20180108
73509,3266,"Why did the Lord give us so much quickness of movement unless it was to
",20170622
11161,4520,"by the number of people in the group.
",20170816
11161,9626,"There is no time like the present for postponing what you ought to be
",20170401
11161,134,"that I can.""
",20170405
49234,2033,"Life is like an onion: you peel off layer after layer, then you find
",20171002
50931,4331,"Keep emotionally active.  Cater to your favorite neurosis.
",20170718
50931,9159,"""He was so narrow minded he could see through a keyhole with both
",20170803
34473,2295,"Perhaps, unless the billboards fall
",20180426
34473,4485,"the morning.
",20170426
34473,8059,"A.A.A.A.A.: An organization for drunks who drive
",20170615
59581,1999,"How long a minute is depends on which side of the bathroom door you're on.
",20180321
50705,4674,"Symptoms, manifestations, bugs, and hacks,
",20170719
16858,8249,"Adult: One old enough to know better.
",20180112
16858,7822,"        Thy programs run, thy syscalls done,
",20170928
16858,9432,"certain; and as far as they are certain, they do not refer to reality.
",20170914
65907,9319,"                -- ""The Hitchhiker's Guide to the Galaxy""
",20170423
65907,2716,"Hummingbirds never remember the words to songs.
",20170630
65907,8759,"harder.
",20171111
11470,9472,"computer crashes.
",20170127
57469,4387,"        other.
",20171008
71632,8569,"            once.
",20180308
71632,6612,"        They usually have virgins,
",20180321
71632,658,"find at least two human errors, including the error of blaming it on
",20171007
46925,1519,"        1.  If reproducibility may be a problem, conduct the test only
",20170622
46925,845,"Democracy is a form of government in which it is permitted to wonder
",20170410
31538,7937,"Their topics run chiefly to sex.
",20170319
84561,9917,"average man can see better than he can think.
",20170313
84561,1994,"Accordion: A bagpipe with pleats.
",20170824
73315,2755,"Gives us ham and pork and Bacon.
",20180407
73315,1290,"to decadence without touching civilization.
",20171106
73315,8468,"        Superiority is recessive.
",20170424
93531,4143,"What the hell, go ahead and put all your eggs in one basket.
",20171008
93531,3865,"                -- Clarence Darrow
",20170720
21720,8515,"ends.
",20170305
41653,737,"to worry.
",20170606
41334,2986,"It's because I try to put every possible syllable into that last line
",20170523
41334,8798,"responsibility at the other.
",20171121
20640,9712,"Limericks are art forms complex,
",20171112
62265,6178,"them on the machine they can be patched into working in ""only a few"" 30-hour
",20171115
62265,9406,"        It runs all its programs in RPG!
",20171004
49020,2167,"When the government bureau's remedies do not match your problem, you
",20180226
49020,183,"Our OS who art in CPU, UNIX be thy name.
",20170508
28217,8109,"Who lived on distilled kerosene
",20170106
28217,4683,"Will divide, multiply, and subtract.
",20170201
28217,6579,"Never try to outstubborn a cat.
",20171004
44558,4461,"in the morning, and does not stop until you get to school.
",20180414
67481,7535,"Horngren's Observation:
",20170313
33944,8233,"When the government bureau's remedies do not match your problem, you
",20170109
53486,4072,"The only way to get rid of a temptation is to yield to it.
",20170726
53486,1673,"        The mouse dissolved
",20180421
59511,9375,"The earth is like a tiny grain of sand, only much, much heavier.
",20170204
59511,4464,"find at least two human errors, including the error of blaming it on
",20170503
88952,1143,SQL Symphony Concert,20170918
88952,1143,SQL Symphony Concert,20171016
88952,1143,SQL Symphony Concert,20171031
88952,1143,SQL Symphony Concert,20170526
46781,8057,"lightly greased.""
",20171010
46781,8727,"Stay away from hurricanes for a while.
",20171120
46781,1998,"Call Avogardo 6.02 x 10^23
",20171208
43331,3851,"                -- Groucho Marx
",20170423
43331,6156,"You patch a bug, and dump it again:
",20171113
43331,5616,"It seems like the less a statesman amounts to, the more he loves the
",20170522
68352,6063,"A language that doesn't affect the way you think about programming is
",20171210
73373,517,"Don't tell any big lies today.  Small ones can be just as effective.
",20170821
73373,9353,"Majority: That quality that distinguishes a crime from a law.
",20170224
73373,7535,"""That must be wonderful!  I don't understand it at all.""
",20171030
84318,1923,"Truth will be out this morning.  (Which may really mess things up.)
",20180326
84318,8335,"                -- John O'Hara
",20170816
84318,5201,"...And malt does more than Milton can
",20170617
77396,3251,"you are going to see of him until he emerges on the other side of his
",20171226
30771,6986,"""Matrimony isn't a word, it's a sentence.""
",20170201
30771,8468,"Why did the Roman Empire collapse?  What is the Latin for office
",20170324
30771,4723,"bogglingly big it is.  I mean, you may think it's a long way down the
",20170827
30887,9273,"""All my friends and I are crazy.  That's the only thing that keeps us
",20170325
30887,6148,"A: Three.  One to screw in the lightbulb and two to fend off all those
",20171201
98797,6999,"honorable gentleman is a scurvy cur.""
",20171228
98797,712,"
",20180120
64827,276,"in eucalyptus trees.
",20170606
64827,1365,"POP UP, PUSH DOWN, BYTE, BYTE, BYTE!
",20180409
64827,9167,"flag.
",20170622
82643,9570,"Let others think his heart is big,
",20171023
82643,8442,"                -- La Rouchefoucauld
",20170223
82643,7156,"        If Murphy's Law can go wrong, it will.
",20180330
36731,5294,"the computer.
",20171109
36731,5851,"None: ""We'll fix it in software.""
",20170302
68787,6072,"Don't tell any big lies today.  Small ones can be just as effective.
",20170905
68787,346,"How many software engineers does it take to change a lightbulb?
",20170201
68787,4938,"The National Short-Sleeved Shirt Association says:
",20180103
16558,3244,"                -- Mark Twain
",20171212
16558,3053,"analyzed, and replaced with new weaknesses.
",20171026
74135,3490,"Death is life's way of telling you you've been fired.
",20180303
74135,8341,"Caution: breathing may be hazardous to your health.
",20170922
74135,3199,"                -- Adlai Stevenson
",20170612
67501,9346,"Losing your drivers' license is just God's way of saying ""BOOGA, BOOGA!""
",20180407
67501,8785,"        except study for that instructor's course.
",20170818
69482,1728,"                -- Mark Twain
",20170710
69482,4859,"the continuing viability of Fortran.
",20170630
69482,126,"                -- Bellamy Brooks
",20170622
10946,174,"Our country has plenty of good five-cent cigars, but the trouble is
",20180212
47740,2089,"fix it, and ...
",20171218
11385,8548,"I'm prepared for all emergencies but totally unprepared for everyday
",20170729
11385,8383,"Good day for a change of scene.  Repaper the bedroom wall.
",20171225
11385,4993,"""In short, _N is Richardian if, and only if, _N is not Richardian.""
",20171105
49342,8663,"""Now is the time for all good men to come to.""
",20170617
49342,5922,"I'm not as think as you stoned I am.
",20170129
49342,6393,"""All my friends and I are crazy.  That's the only thing that keeps us
",20170213
89916,4072,"""All my friends and I are crazy.  That's the only thing that keeps us
",20171113
45812,3072,"Conway's Law:
",20171224
45812,6938,"full days you don't get.  Try to avoid Februarys whenever possible.
",20171216
21134,7737,"Ass: The masculine of ""lass"".
",20180216
21134,2792,"""Stealing a rhinoceros should not be attempted lightly.""
",20180308
21134,2924,"IBM had a PL/I,
",20171212
58907,9414,"""Stealing a rhinoceros should not be attempted lightly.""
",20180225
58907,1926,"When the government bureau's remedies do not match your problem, you
",20180418
58907,9388,"God said, ""Let Newton be,"" and all was light.
",20170119
97362,6801,"Good day to let down old friends who need help.
",20171029
18108,11,"        Its syntax worse than JOSS;
",20171207
45776,8504,"I think that I shall never see
",20180409
26676,3490,"The Second Law: The most you can accomplish by working is to break
",20180308
26676,8004,"        If an idea can survive a bureaucratic review and be implemented
",20170204
44776,1229,"""Just once, I wish we would encounter an alien menace that wasn't
",20170409
44776,537,"aloud what the country could do under first-class management.
",20171005
44776,85,"tobacco in between.
",20170319
11062,3629,"Happiness: An agreeable sensation arising from contemplating the misery
",20170625
11062,4534,"computer crashes.
",20170512
11062,5269,"                -- Lewis Carroll
",20170209
49553,8612,"A LISP programmer knows the value of everything, but the cost of
",20170409
15211,8569,"If time heals all wounds, how come the belly button stays the same?
",20170505
15211,4137,"And made cider inside her inside.
",20180127
15211,5982,"Nothing is faster than the speed of light...
",20170810
99106,8727,"                -- John Barrymore's dying words
",20171230
99106,9974,"Die?  I should say not, dear fellow.  No Barrymore would allow such a
",20170907
99106,6156,"To prove this to yourself, try opening the refrigerator door before
",20180306
59076,5468,"                -- Lazarus Long
",20170430
93928,3623,"Razors pain you;
",20180414
69859,5157,"        2.  If a straight line fit is required, obtain only two data
",20171230
69859,2059,"Advertisement: The most truthful part of a newspaper
",20170308
69859,1200,"Perfect day for scrubbing the floor and other exciting things.
",20180425
63794,8727,"Californians trying to share the experience.
",20180124
56334,6148,"        when someone inadvertently opens the darkroom door and all of
",20170213
39280,5606,"of being a damned fool.
",20171013
51629,9273,"                -- Mickey Mouse
",20170118
96804,4318,"                -- Joe Walsh
",20180107
96804,5536,"their destitution of conscience.
",20170602
96804,2581,"                -- D. J. Hicks
",20180219
76797,8559,"McGowan's Madison Avenue Axiom:
",20171013
62806,7995,"Only God can make random selections.
",20180224
91893,7416,"                -- Mark Twain
",20171209
91893,3415,"Do not take life too seriously; you will never get out if it alive.
",20170602
37903,6114,"Oh, let us never, never doubt
",20170309
37903,7259,"        reject the proposal.
",20170416
59131,9434,"I'm prepared for all emergencies but totally unprepared for everyday
",20170119
59131,746,"Die: To stop sinning suddenly.
",20171225
83986,9159,"                -- Hawkwind
",20170709
60957,3810,"Nature and nature's laws lay hid in night,
",20180130
59060,6229,"enough cheese
",20171202
59060,8605,"slandered.
",20171125
33193,9780,"        hits the paper.
",20170912
33193,5851,"Others will look to you for stability, so hide when you bite your
",20170928
36669,8642,"The only way to get rid of a temptation is to yield to it.
",20170221
36669,6843,"doing.
",20170319
36669,1093,"indigestion.
",20170807
27485,9126,"Good day to avoid cops.  Crawl to school.
",20170416
27485,6722,"                -- Clint Eastwood
",20170614
27485,9776,"
",20170417
85272,2433,"There cannot be a crisis next week.  My schedule is already full.
",20170611
85272,3878,"say what I wish done,"" give him a lollipop.
",20171005
85272,9159,"Triple-Iso-Bifurcated-Krypton-Gate-MOS process...""
",20180227
68219,8034,"shortest, though.
",20180124
68219,924,"Computer programmers do it byte by byte
",20170319
68219,9267,"        instructor will assign 200 pages on planaria.
",20180123
53063,2924,"        All the easy problems have been solved.
",20170527
53063,6869,"Brain fried -- Core dumped
",20170521
68458,2924,"                -- A. E. Housman
",20170103
68458,2210,"                -- Bill Hoest
",20170922
68458,3900,"Ra!  Ra!  Ra!
",20171019
96266,988,"But only what I tell it.
",20170430
52739,5606,"Corner, Vermont.""
",20180118
52739,1344,"Caution: breathing may be hazardous to your health.
",20180219
29826,134,"Admiration: Our polite recognition of another's resemblance to
",20171217
85937,515,"Reality is an obstacle to hallucination.
",20180106
75716,8029,"I can resist anything but temptation.
",20171020
75716,574,"Science is what happens when preconception meets verification.
",20170313
75716,5101,"                -- Kehlog Albran
",20180202
18309,8025,"Why did the Lord give us so much quickness of movement unless it was to
",20180418
42113,6517,"Presidents and Kings to the scum of the earth...""
",20180303
42113,3007,"Mollison's Bureaucracy Hypothesis:
",20170221
42113,4354,"It was the reader's CONS
",20180131
47204,816,"I must have slipped a disk -- my pack hurts
",20170614
47204,7275,"        In any organization there will always be one person who knows
",20171212
84292,8082,"It is the business of the future to be dangerous.
",20170928
78795,3581,"Would you like to play Global Thermo-nuclear War?
",20170601
78795,4993,"What this country needs is a good five cent ANYTHING!
",20170705
78795,3595,"                -- Carl Zwanzig
",20180209
56027,1290,"How long a minute is depends on which side of the bathroom door you're on.
",20180323
56027,6656,"If you make people think they're thinking, they'll love you; but if you
",20170220
76132,1960,"they charge fifteen cents for them.
",20170224
61375,1878,"If you put garbage in a computer nothing comes out but garbage.  But
",20171120
35311,7236,"You cannot kill time without injuring eternity.
",20170419
35311,3072,"Your analyst has you mixed up with another patient.  Don't believe a
",20171103
35311,1483,"Consultants are mystical people who ask a company for a number and then
",20171203
38907,4681,"""I am not an Economist.  I am an honest man!""
",20180424
38907,8698,"Keep grandma off the streets -- legalize bingo.
",20170401
52297,5606,"Earn cash in your spare time -- blackmail your friends.
",20170508
52297,8152,"poor to protect them from each other.
",20170214
41484,4448,"See how it runs!  See how it runs!
",20170626
12178,1404,"                -- Eleanor Roosevelt
",20170821
12178,6702,"                -- Groucho Marx
",20170110
12178,2403,"Signs of crime: screaming or cries for help.
",20170925
60886,4318,"Never let your child play with a loaded carp.
",20170706
60886,8068,"It was a book to kill time for those who liked it better dead.
",20180125
60886,1851,"The IQ of the group is the lowest IQ of a member of the group divided
",20170113
74332,2731,"Shining with all his might:
",20170715
74332,1574,"Silverman's Law:
",20170402
74332,124,"Beware of low-flying butterflies.
",20170621
41914,8442,"        Its syntax worse than JOSS;
",20170114
22369,2918,"Don't go surfing in South Dakota for a while.
",20171017
42815,2177,"
",20171115
25814,5982,"him up.
",20170525
25814,9373,"Electrocution: Burning at the stake with all the modern improvements.
",20170622
91065,2241,"        In any organization there will always be one person who knows
",20170520
95491,9876,"Whether you can hear it or not
",20170810
95491,5023,"You patch a bug, and dump it again:
",20170821
36563,5269,"     ""Like a bowl of sour cream?"" asked the other.  ""Why?""
",20171112
36563,6965,"Stop searching.  Happiness is right next to you.  Now, if they'd only
",20180103
91302,7990,"It was the reader's CONS
",20170319
89343,4612,"        But the good ones I've seen
",20170715
89343,8538,"43rd Law of Computing:
",20171207
72648,6801,"Things will be bright in P.M.  A cop will shine a light in your face.
",20180206
72648,2918,"WHERE CAN THE MATTER BE
",20180129
72648,786,"99 blocks of crud!
",20170721
69333,9520,"You patch a bug, and dump it again:
",20170312
69333,4029,"                -- Finley Peter Dunne (Mr. Dooley)
",20170219
69333,4331,"Real Programmers never work 9 to 5.  If any real programmers are around a 9 AM,
",20170730
55598,2365,"Oh, let us never, never doubt
",20170309
55598,8538,"What the hell, go ahead and put all your eggs in one basket.
",20171206
55598,7498,"It is easier to get forgiveness than permission.
",20180405
14532,9589,"Now, GC, for the nonce,
",20170117
67045,4290,"Majority: That quality that distinguishes a crime from a law.
",20170906
97245,3139,"Anarchy may not be the best form of government, but it's better than no
",20170825
84066,5715,"Absentee: A person with an income who has had the forethought to remove
",20170902
84066,6572,"""Now is the time for all good men to come to.""
",20170725
84066,6004,"Perhaps, unless the billboards fall
",20170801
83673,3810,"Excellent time to become a missing person.
",20170912
83673,7275,"Corner, Vermont.""
",20171007
83673,5135,"I think it stupid of the Pig.
",20180311
55804,1077,"""Why isn't there a special name for the tops of your feet?""
",20180218
55804,3232,"                -- Lewis Carroll
",20171115
55804,1106,"
",20180122
84819,2633,"Love at first sight is one of the greatest labor-saving devices the
",20170921
84819,1625,"A: 33.  1 to hold the bits and 32 to push the register.
",20180308
84819,4702,"Alexander Graham Bell is alive and well in New York, and still waiting
",20171110
73141,3998,"        If an idea can survive a bureaucratic review and be implemented
",20170221
